"Name","Aliases","Disc. Date","Max Date","Mmax","R.A.","Dec.","z","Type","E(B-V)","References"
"SN2017bcc","SN2017bcc, AT2017bcc, PS17bgn","2017/02/18","2017/03/26","-22.99","11:31:52.99,11:31:52.990,11:31:53.04","+29:59:45.13,+29:59:45.24","0.148,0.133,0.148","SLSN-II","0.0196","2016A&A...594A..13P,2011ApJ...737..103S"
"SN2016aps","SN2016aps, AT2016aps, PS16aqy","2016/02/22","2016/02/22","-22.35","10:19:02.17","+74:42:24.6,+74:42:24.67","0.265","SLSN-II","0.0263","2014Ap&SS.354...89B,2016ATel.8790....1C,2016A&A...594A..13P,2011ApJ...737..103S"
"PTF12mkp","PTF12mkp","2012/12/25","2013/01/25","-22.26","08:28:35.092","+65:10:55.60","0.153,0.153","SLSN-II","0.0434","2014Ap&SS.354...89B,2016ApJ...830...13P,2012PASP..124..668Y,2016A&A...594A..13P,2011ApJ...737..103S"
"PTF12epg","PTF12epg","2012/05/30","2012/05/30","-21.674","12:55:36.596","+35:37:35.79","0.3422","SLSN-II","0.0146","2014Ap&SS.354...89B,2016ApJ...830...13P,2016A&A...594A..13P,2012PASP..124..668Y,2011ApJ...737..103S"
"PTF10heh","PTF10heh","2010/04/04","2010/06/03","-21.205","12:48:52.00,12:48:52.04,12:48:52.05","+13:26:24.5","0.3379","SLSN-II","0.0237","2016ApJ...830...13P,2010ATel.2634....1Q,2016A&A...594A..13P,2011ApJ...730...34S,2012PASP..124..668Y"
"PTF11dsf","PTF11dsf","2011/05/12","2011/05/27","-22.898","16:11:33.55","+40:18:03.5","0.3848","SLSN-II","0.0092","2016ApJ...830...13P,2011ATel.3465....1Q,2016A&A...594A..13P,2013ApJ...771..136L,2015MNRAS.449..917L"
"PTF10qaf","PTF10qaf","2015/01/07","2010/08/05","-19.741","23:35.7,23:35:42.887","+10:47,+10:46:32.57","0.2836","SLSN-II","0.0664","2014Ap&SS.354...89B,2016ApJ...830...13P,2016A&A...594A..13P,2015ApJ...807..169A,2012PASP..124..668Y"
"PTF09uy","PTF09uy","2009","2009/07/08","","12:43:55.771","+74:41:07.58","0.3145","SLSN-II","0.0191","2016ApJ...830...13P,2016A&A...594A..13P,2012PASP..124..668Y,2011ApJ...737..103S"
"PTF10fel","PTF10fel","2010","2010/04/03","","16:27:31.103","+51:21:43.45","0.2356","SLSN-II","0.0162","2016ApJ...830...13P,2016A&A...594A..13P,2012PASP..124..668Y,2011ApJ...737..103S"
"PTF10jwd","PTF10jwd","2010","2010/07/02","","16:43:43.325","+44:31:43.80,+44:31:43.8","0.477","SLSN-II","0.0119","2016ApJ...830...13P,2016A&A...594A..13P,2012PASP..124..668Y,2011ApJ...737..103S"
"PTF10qwu","PTF10qwu","2010","2010/08/21","","16:51:10.572","+28:18:07.62","0.2258","SLSN-II","0.039","2016ApJ...830...13P,2016A&A...594A..13P,2012PASP..124..668Y,2011ApJ...737..103S"
"PTF10scc","PTF10scc","2010","2010/08/26","","23:28:10.495","+28:38:31.10","0.242","SLSN-II","0.091","2016ApJ...830...13P,2016A&A...594A..13P,2012PASP..124..668Y,2011ApJ...737..103S"
"PTF10tpz","PTF10tpz","2010","2010/09/02","","21:58:31.74","-15:33:02.6","0.04","SLSN-II","0.039","2016ApJ...830...13P,2016A&A...594A..13P,2012PASP..124..668Y,2011ApJ...737..103S"
"PTF10yyc","PTF10yyc","2010","2010/11/13","","04:39:17.297","-00:20:54.50,-00:20:54.5","0.2147","SLSN-II","0.0389","2016ApJ...830...13P,2016A&A...594A..13P,2012PASP..124..668Y,2011ApJ...737..103S"
"PTF12gwu","PTF12gwu","2012","2012/07/25","","15:02:32.876","+08:03:49.47","0.275","SLSN-II","0.0309","2016ApJ...830...13P,2016A&A...594A..13P,2012PASP..124..668Y,2011ApJ...737..103S"
"PTF12mue","PTF12mue","2012","2012/12/21","","03:18:51.072","-11:49:13.55","0.2787","SLSN-II","0.0608","2016ApJ...830...13P,2016A&A...594A..13P,2012PASP..124..668Y,2011ApJ...737..103S"
"DES15S1nog","DES15S1nog","2015/12/08","2016/02/10","-19.76","02:52:14.98","-00:44:36.3","0.565","SLSN-I?","0.0541","2016ATel.8717....1C,2016A&A...594A..13P,2011ApJ...737..103S"
"DES17X1amf","DES17X1amf","2017/08/18","2017/09/21","-20.12","02:17:46.70","-05:36:01.0","0.915","SLSN-I?","0.0207","2016A&A...594A..13P,2011ApJ...737..103S"
"SN2010hy","SN2010hy, PTF10vwg","2010/09/04","2010/09/07","-22.103","18:59:32.89,18:59:32.881","+19:24:25.9,+19:24:25.88,+19:24:25.74","0.1901","SLSN-I-R","0.4563","2017arXiv170801623D,2016ApJ...830...13P,2012PASP..124..668Y,2012A&A...538A.120L,2010CBET.2461....2C"
